entity_id,degree,small_tx_count,avg_amount,amount_variance,amount_skewness,high_value_ratio,cycle_score,clustering_coeff,tx_freq_variance,tx_velocity,burstiness,temporal_concentration,kyc_risk_score,dormancy_period,cross_border_amount,in_degree_x,tx_frequency,directionality_ratio,round_trip_count,in_degree_y,profile_type,agent_id,country_ASIA,country_EU,country_HIGH_RISK,country_US,ml_flag_score,is_anomaly
E0000,10,0,88042.02293913104,9130510421.177317,1.0920191981625458,0.3,1.8630750041187654,0.3111111111111111,4.4582,0.38461538313609467,994.3333333333334,0,0.0597289182210209,309,12.389651196749211,0,10,0.0,0,0,individual_low,55,False,False,False,True,0.0,0
E0001,7,1,56664.591841059024,5018872284.531262,1.4007569431930207,0.14285714285714285,1.854188431148057,0.25,1.4581999999999997,0.24999999910714285,1189.5238095238096,0,0.2821936030081571,326,12.89081748227726,1,7,0.12499999843750002,0,1,individual_high,96,False,False,True,False,0.0,0
E0002,7,0,97908.93744400542,12261229864.03013,0.5732540892192775,0.42857142857142855,1.8895770688586069,0.14285714285714285,1.4581999999999997,0.24999999910714285,922.3809523809523,0,0.2284624644228327,340,13.421246118054027,1,7,0.12499999843750002,0,1,business_large,36,True,False,False,False,0.0,0
E0003,7,0,60494.57928750034,1574978571.7525952,1.2622106885716682,0.14285714285714285,1.8789185614779396,0.23809523809523808,1.4581999999999997,0.6363636305785125,169.52380952380952,0,0.2088691780572431,357,12.86033881096919,0,7,0.0,0,0,individual_low,37,False,True,False,False,0.0,0
E0004,8,0,56094.08212640854,2594409402.9457116,0.30151131167388967,0.25,1.9023209160825811,0.1794871794871795,2.4581999999999997,0.28571428469387755,710.7142857142857,0,0.0716786451233575,106,11.569664242417309,5,8,0.38461538165680476,0,5,business_large,14,False,False,False,True,0.0,0
E0005,6,0,46875.24071443827,592524836.2606411,0.6771441193484273,0.0,1.9053077990046023,0.2222222222222222,0.4581999999999997,0.4285714255102041,257.6666666666667,0,0.0355720299122851,240,11.788508207000886,4,6,0.3999999960000001,0,4,individual_low,27,False,False,False,True,0.0,0
E0006,9,2,9242.94396533988,45028137.21043479,-0.02494116707917381,0.0,1.894298798884562,0.10476190476190476,3.4581999999999997,0.3214285702806122,777.7777777777777,0,0.261249786385605,27,11.031041391906118,6,9,0.39999999733333336,0,6,business_small,83,False,False,False,True,0.1111111111111111,1
E0007,7,0,70176.34707460519,13535909379.966232,1.5303363809263824,0.14285714285714285,1.8513869229329798,0.05454545454545454,1.4581999999999997,0.27999999888,712.3809523809525,0,0.0017638708027352,191,11.163735026397092,4,7,0.36363636033057856,0,4,business_large,31,True,False,False,False,0.0,0
E0008,5,1,49821.92337094564,3815222918.882976,0.5347379980127854,0.2,1.8881945605202777,0.06666666666666667,0.5418000000000003,0.2272727262396694,671.9999999999999,0,0.1164289271103058,248,12.333996841529506,1,5,0.16666666388888893,0,1,individual_low,73,False,True,False,False,0.0,0
E0009,5,0,38801.5901858021,532860142.4108412,0.15480431099344302,0.0,1.9187287863323694,0.32142857142857145,0.5418000000000003,0.1999999992,1018.0000000000001,0,0.0832837508884,363,11.868067221384182,3,5,0.3749999953125001,0,3,individual_high,81,True,False,False,False,0.0,0
E0010,6,0,90827.17490510926,23298791072.93926,1.2949957887412102,0.16666666666666666,1.8643835809254414,0.07272727272727272,0.4581999999999997,0.21428571352040815,842.6666666666667,0,0.171112860104647,212,13.166256653247034,5,6,0.4545454504132232,0,5,individual_low,83,False,False,False,True,0.0,0
