entity_id,profile_type,country,agent_id,kyc_risk_score,dormancy_period
E0000,individual_low,US,55,0.059728918221020916,309
E0001,individual_high,HIGH_RISK,96,0.2821936030081571,326
E0002,business_large,ASIA,36,0.2284624644228327,340
E0003,individual_low,EU,37,0.20886917805724312,357
E0004,business_large,US,14,0.07167864512335759,106
E0005,individual_low,US,27,0.03557202991228514,240
E0006,business_small,US,83,0.26124978638560503,27
E0007,business_large,ASIA,31,0.001763870802735279,191
E0008,individual_low,EU,73,0.11642892711030588,248
E0009,individual_high,ASIA,81,0.08328375088840007,363
E0010,individual_low,US,83,0.17111286010464707,212
E0011,business_small,HIGH_RISK,44,0.07515253076575042,20
E0012,business_small,ASIA,68,0.09336160779849238,154
E0013,business_small,US,48,0.25501195649795805,26
E0014,individual_low,US,57,0.1809566470213556,76
E0015,individual_low,US,75,0.04370475819881051,305
E0016,individual_low,US,22,0.21794146304874945,56
E0017,individual_low,EU,4,0.062237760443963515,118
E0018,business_small,EU,81,0.12990147903374402,164
E0019,business_large,US,72,0.6798245134332237,274
E0020,business_small,EU,46,0.08157886123724618,47
E0021,individual_high,US,59,0.11523204440273765,149
E0022,business_large,US,34,0.22024487919124525,157
E0023,business_small,US,11,0.8682249509822964,299
E0024,business_large,EU,31,0.1587735170878419,150
E0025,business_small,ASIA,11,0.002991291466986823,224
E0026,individual_low,US,56,0.10153912537254914,259
E0027,individual_low,EU,38,0.11959030045366033,255
E0028,business_small,EU,21,0.10175208600067322,60
E0029,individual_low,US,94,0.1308806583346688,351
E0030,individual_low,EU,10,0.1897998761455199,259
E0031,business_small,US,26,0.036338408099325946,320
E0032,business_small,US,91,0.08178915266025165,161
E0033,business_small,HIGH_RISK,8,0.15229442580528738,348
E0034,individual_low,HIGH_RISK,8,0.09467199245399252,30
E0035,individual_low,ASIA,60,0.2973256014406078,70
E0036,business_small,US,72,0.12942944011124646,1
E0037,business_large,US,34,0.26093974607766485,49
E0038,business_small,EU,16,0.2689529506841593,134
E0039,business_large,EU,13,0.250802099916705,145
E0040,business_small,US,87,0.014069472283550342,178
E0041,business_small,EU,76,0.28432401948400543,263
E0042,individual_low,US,91,0.03862276863995307,310
E0043,business_small,HIGH_RISK,22,0.010321088314288351,203
E0044,business_small,US,96,0.12431088237196725,298
E0045,business_small,EU,27,0.05839020982735682,186
E0046,individual_high,US,64,0.05525895889897085,29
E0047,business_small,EU,2,0.08634588401284517,58
E0048,individual_low,EU,97,0.07452168157405645,8
E0049,business_small,US,26,0.20543862064504592,323
E0050,individual_low,HIGH_RISK,92,0.05603319199082102,166
E0051,business_large,ASIA,83,0.16293549155917755,336
E0052,individual_low,HIGH_RISK,69,0.2959279638430589,278
E0053,individual_low,ASIA,97,0.12971472628688666,190
E0054,individual_high,EU,84,0.19256193263863094,241
E0055,business_small,HIGH_RISK,30,0.2908115033189621,277
E0056,individual_high,US,8,0.041291699412409275,153
E0057,individual_low,US,38,0.12558210278791482,159
E0058,business_small,US,61,0.25505772005857624,264
E0059,individual_low,US,81,0.27969170482346395,234
E0060,business_large,US,65,0.18037081738767152,345
E0061,business_large,US,67,0.04302618076206701,198
E0062,business_small,ASIA,46,0.2704414751842965,32
E0063,individual_low,US,90,0.05233396985728277,88
E0064,business_small,US,95,0.10586335449963556,94
E0065,individual_low,EU,72,0.11265239332867852,220
E0066,individual_high,US,43,0.1341874619617884,68
E0067,individual_low,ASIA,59,0.23704974477928487,293
E0068,business_large,US,46,0.24064331343074538,236
E0069,individual_low,HIGH_RISK,72,0.21589652198343426,159
E0070,business_small,ASIA,35,0.006638602326474485,319
E0071,business_small,US,39,0.16945353066514546,327
E0072,individual_high,US,92,0.22424788676441998,275
E0073,individual_low,ASIA,51,0.13338757201846282,289
E0074,business_large,ASIA,4,0.2834808136096189,41
E0075,business_small,ASIA,80,0.2471431565641053,65
